sweep_id,sweep_point_id,varied_parameter,varied_value,top_k,sampling_mode,max_images,max_images_per_class,seed,num_images_evaluated,num_classes,tflite_top1_accuracy,tflite_topk_accuracy,hog_top1_accuracy,hog_topk_accuracy,model_agreement_rate,status,errors
parameter_sweep_20260504_031658_UTC,point_001_top_k_1,top_k,1,1,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_002_top_k_3,top_k,3,3,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_003_top_k_5,top_k,5,5,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_004_sampling_mode_balanced,sampling_mode,balanced,5,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_005_sampling_mode_random,sampling_mode,random,5,random,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_006_sampling_mode_sorted,sampling_mode,sorted,5,sorted,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_007_max_images_50,max_images,50,5,balanced,50,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_008_max_images_100,max_images,100,5,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_009_max_images_200,max_images,200,5,balanced,200,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_010_max_images_per_class_1,max_images_per_class,1,5,balanced,100,1,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_011_max_images_per_class_2,max_images_per_class,2,5,balanced,100,2,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_012_max_images_per_class_5,max_images_per_class,5,5,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_013_seed_7,seed,7,5,balanced,100,5,7,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_014_seed_42,seed,42,5,balanced,100,5,42,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
parameter_sweep_20260504_031658_UTC,point_015_seed_123,seed,123,5,balanced,100,5,123,,,,,,,,failed,Could not resolve a 'test' image folder from dataset path: D:\BackupFiles\School2023-Present\05_Spring2026\CS659\CS659_Project\dataset_sample
