sweep_id,sweep_point_id,varied_parameter,varied_value,top_k,sampling_mode,max_images,max_images_per_class,seed,num_images_evaluated,num_classes,tflite_top1_accuracy,tflite_topk_accuracy,hog_top1_accuracy,hog_topk_accuracy,model_agreement_rate,status,errors
parameter_sweep_20260504_034021_UTC,point_001_top_k_1,top_k,1,1,balanced,200,1,42,25,25,0.2,0.2,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_002_top_k_3,top_k,3,3,balanced,200,1,42,25,25,0.2,0.32,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_003_top_k_5,top_k,5,5,balanced,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_004_top_k_8,top_k,8,8,balanced,200,1,42,25,25,0.2,0.6,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_005_top_k_10,top_k,10,10,balanced,200,1,42,25,25,0.2,0.68,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_006_sampling_mode_balanced,sampling_mode,balanced,5,balanced,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_007_sampling_mode_random,sampling_mode,random,5,random,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_008_sampling_mode_sorted,sampling_mode,sorted,5,sorted,200,1,42,25,25,0.36,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_009_max_images_10,max_images,10,5,balanced,10,1,42,10,10,0.2,0.5,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_010_max_images_25,max_images,25,5,balanced,25,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_011_max_images_50,max_images,50,5,balanced,50,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_012_max_images_100,max_images,100,5,balanced,100,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_013_max_images_200,max_images,200,5,balanced,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_014_max_images_per_class_1,max_images_per_class,1,5,balanced,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_015_max_images_per_class_2,max_images_per_class,2,5,balanced,200,2,42,50,25,0.22,0.5,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_016_max_images_per_class_5,max_images_per_class,5,5,balanced,200,5,42,125,25,0.248,0.552,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_017_max_images_per_class_7,max_images_per_class,7,5,balanced,200,7,42,175,25,0.26285714285714284,0.5257142857142857,0.0,0.0,0.005714285714285714,completed,
parameter_sweep_20260504_034021_UTC,point_018_max_images_per_class_10,max_images_per_class,10,5,balanced,200,10,42,200,25,0.26,0.525,0.0,0.0,0.005,completed,
parameter_sweep_20260504_034021_UTC,point_019_seed_7,seed,7,5,balanced,200,1,7,25,25,0.24,0.4,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_020_seed_25,seed,25,5,balanced,200,1,25,25,25,0.2,0.64,0.0,0.0,0.04,completed,
parameter_sweep_20260504_034021_UTC,point_021_seed_42,seed,42,5,balanced,200,1,42,25,25,0.2,0.52,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_022_seed_123,seed,123,5,balanced,200,1,123,25,25,0.16,0.44,0.0,0.0,0.0,completed,
parameter_sweep_20260504_034021_UTC,point_023_seed_200,seed,200,5,balanced,200,1,200,25,25,0.24,0.52,0.0,0.0,0.0,completed,
